GOterm	HeatStress_freq	Intersection_freq	HeatStress_SAHA	Total
nucleosome assembly	13	44	12	69
chromatin remodeling	6	29	20	55
DNA methylation-dependent heterochromatin formation	7	18	5	30
histone lysine methylation	2	21	5	28
histone deacetylation	6	19	1	26
histone acetylation	1	21	3	25
histone modifications	3	5	5	13
histone ubiquitination	2	10	1	13
ep regulation of gene expression	2	6	0	8
histone methylation	1	5	2	8
nucleosome organization	2	4	2	8
histone H3-K9 demethylation	3	3	0	6
C-5 methylation of cytosine	0	5	1	6
regulatory ncRNA-mediated heterochromatin formation	2	1	2	5
heterochromatin formation	1	3	0	4
histone H3-K4 methylation	1	3	0	4
negative regulation of histone acetylation	2	0	2	4
DNA replication-dependent chromatin assembly	0	4	0	4
histone glutamine methylation	0	4	0	4
subtelomeric heterochromatin formation	0	2	2	4
histone H3 acetylation	1	1	1	3
histone arginine methylation	0	3	0	3
regulation of histone modification	0	2	1	3
histone H3-K36 methylation	2	0	0	2
chromatin remodeling at centromere	0	2	0	2
histone H3-K9 methylation	0	2	0	2
histone H4 acetylation	0	2	0	2
histone H2A acetylation	0	0	2	2
histone deubiquitination	1	0	0	1
histone H4-R3 methylation	1	0	0	1
histone H3-K36 demethylation	0	1	0	1
histone H3-K4 trimethylation	0	1	0	1
positive regulation of histone acetylation	0	1	0	1
regulation of histone H3-K4 methylation	0	0	1	1
